title,authors,venue,year
Index Structures for Selective Dissemination of Information Under the Boolean Model,"Tak W. Yan, Hector Garcia-Molina",ACM Trans. Database Syst.,1994
Catalog Management in Websphere Commerce Suite,Thomas Maguire,SIGMOD Conference,2001
Distributed Top-K Monitoring,"Chris Olston, Brian Babcock",SIGMOD Conference,2003
Adapting Materialized Views after Redefinitions,"Ashish Gupta, Inderpal Singh Mumick, Kenneth A. Ross",SIGMOD Conference,1995
Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, Jörg Sander, Jeffrey Pound",SIGMOD Record,2003
SERFing the Web: Web Site Management Made Easy,"Kajal T. Claypool, Elke A. Rundensteiner, Hong Su, Keiji Oenoki, Li Chen",SIGMOD Conference,2000
"Title, Foreword",?,VLDB J.,1994
Reminiscences on Influential Papers,"Jan Van den Bussche, Surajit Chaudhuri, Moshe Y. Vardi, Kenneth A. Ross, Gösta Grahne, H. V. Jagadish",SIGMOD Record,1999
Rights Protection for Relational Data,"Sunil Prabhakar, Radu Sion, Mikhail J. Atallah",SIGMOD Conference,2003
Nodose Version 2.0,"Brad Adelberg, Matthew Denny",SIGMOD Conference,1999
Business Process Cockpit,"Umeshwar Dayal, Mehmet Sayal, Ming-Chien Shan, Fabio Casati",VLDB,2002
A Practical and Modular Implementation of Extended Transaction Models,"Roger S. Barga, Calton Pu",VLDB,1995
Internet Traffic Warehouse,"Claudio Petrone, Marco Mesiti, Munir Cochinwala, Patrizia Santa, Chung-Min Chen, Sunil Samtani, Marc Pucci",SIGMOD Conference,2000
Efficient Evaluation of XML Middle-ware Queries,"Mary F. Fernandez, Dan Suciu, Atsuyuki Morishima",SIGMOD Conference,2001
An Extendible Hash for Multi-Precision Similarity Querying of Image Databases,"M. Tamer Özsu, Shu Lin, Raymond T. Ng, Vincent Oria",VLDB,2001
Effective page refresh policies for Web crawlers,"Junghoo Cho, Hector Garcia-Molina",ACM Trans. Database Syst.,2003
Metadata for Mixed-Media Access,"Julian Kupiec, Jan O. Pedersen, Lynn Wilcox, Marti A. Hearst, Francine Chen",SIGMOD Record,1994
Filter Trees for Managing Spatial Data over a Range of Size Granularities,"Kenneth C. Sevcik, Nick Koudas",VLDB,1996
"The Active Database Central, ER2000, VLDB 2000, WISE 2000, Books, ACM DL",?,SIGMOD Record,1999
Dynamic Maintenance of Wavelet-Based Histograms,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",VLDB,2000
ViST: A Dynamic Index Method for Querying XML Data by Tree Structures,"Wei Fan, Sanghyun Park, Philip S. Yu, Haixun Wang",SIGMOD Conference,2003
Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability,"Jen-Yao Chung, Asit Dan, Philip S. Yu",VLDB J.,1995
The Clio Project: Managing Heterogeneity,"Renée J. Miller, C. T. Howard Ho, Lucian Popa, Ling-Ling Yan, Ronald Fagin, Mauricio A. Hernández, Laura M. Haas",SIGMOD Record,2001
Merging Ranks from Heterogeneous Internet Sources,"Hector Garcia-Molina, Luis Gravano",VLDB,1997
Meaningful Change Detection in Structured Data,"Hector Garcia-Molina, Sudarshan S. Chawathe",SIGMOD Conference,1997
Querying and Mining Data Streams: You Only Get One Look,"Minos N. Garofalakis, Johannes Gehrke",VLDB,2002
Is Web-site Management a Database Problem?,"Daniela Florescu, Dan Suciu, Alon Y. Levy",VLDB,1998
The Zero-Delay Data Warehouse: Mobilizing Heterogeneous Databases,eva Kühn,VLDB,2003
Report in ISDO '00: The CAiSE*00 Workshop on Infrastructures for Dynamic Business-to-Business Service Outsourcinga,"Paul W. P. J. Grefen, Heiko Ludwig",SIGMOD Record,2000
Oracle8i Index-Organized Table and Its Application to New Domains,"Anh-Tuan Tran, Chuck Freiwald, Aravind Yalamanchi, Samuel DeFazio, Souripriya Das, Ramkumar Krishnan, Jagannathan Srinivasan, Mahesh Jagannath, Eugene Inseok Chong, Jayanta Banerjee",VLDB,2000
From Nested-Loop to Join Queries in OODB,"Peter M. G. Apers, Hennie J. Steenhagen, Henk M. Blanken, Rolf A. de By",VLDB,1994
On Wrapping Query Languages and Efficient XML Integration,"Jérôme Siméon, Vassilis Christophides, Sophie Cluet",SIGMOD Conference,2000
Object Database Evolution Using Separation of Concerns,"Peter Sawyer, Awais Rashid",SIGMOD Record,2000
Commercial Use of Database Technology,Harald Schöning,VLDB,2003
Workshop on Workflow Management in Scientific and Engineering Applications - Report,"Gottfried Vossen, Richard McClatchey",SIGMOD Record,1997
Formal Aspects of Concurrency Control in Long-Duration Transaction Systems Using the NT/PV Model,"Henry F. Korth, Gregory D. Speegle",ACM Trans. Database Syst.,1994
Interaction of Query Evaluation and Buffer Management for Information Retrieval,"Björn Þór Jónsson, Divesh Srivastava, Michael J. Franklin",SIGMOD Conference,1998
Evaluating Top-k Selection Queries,"Luis Gravano, Surajit Chaudhuri",VLDB,1999
A Conceptual Architecture for Semantic Web Enabled Web Services,"Dieter Fensel, Alexander Maedche, Christoph Bussler",SIGMOD Record,2002
"Title, Preface to the Special Issue on Persistent Object Systems",?,VLDB J.,1995
The Pyramid-Technique: Towards Breaking the Curse of Dimensionality,"Christian Böhm, Hans-Peter Kriegel, Stefan Berchtold",SIGMOD Conference,1998
A Goal-driven Auto-Configuration Tool for the Distributed Workflow Management System Mentor-lite,"German Shegalov, Gerhard Weikum, Wolfgang Wonner, Michael Gillmann, Jeanine Weißenfels",SIGMOD Conference,2000
XPathLearner: An On-line Self-Tuning Markov Histogram for XML Path Selectivity Estimation,"Lipyeow Lim, Ronald Parr, Jeffrey Scott Vitter, Sriram Padmanabhan, Min Wang",VLDB,2002
On the Computation of Multidimensional Aggregates,"Sunita Sarawagi, Ashish Gupta, Rakesh Agrawal, Prasad Deshpande, Jeffrey F. Naughton, Sameet Agarwal, Raghu Ramakrishnan",VLDB,1996
Champagne: Data Change Propagation for Heterogeneous Information Systems,"Holger Meinecke, Uwe Heinkel, Ralf Rantzau, Carmen Constantinescu",VLDB,2002
ROLEX: Relational On-Line Exchange with XML,"Pradeep Shenoy, Xin Dong, Henry F. Korth, Philip Bohannon, P. P. S. Narayan, Chengkai Li, Sumit Ganguly",SIGMOD Conference,2003
AniPQO: Almost Non-intrusive Parametric Query Optimization for Nonlinear Cost Functions,"Arvind Hulgeri, S. Sudarshan",VLDB,2003
WARLOCK: A Data Allocation Tool for Parallel Warehouses,"Thomas Stöhr, Erhard Rahm",VLDB,2001
Editor's Notes,Michael J. Franklin,SIGMOD Record,1999
Quest: A Project on Database Mining,"Ramakrishnan Srikant, Balakrishna R. Iyer, Christos Faloutsos, Arun N. Swami, H. Miranda, Sakti P. Ghosh, A. Mahboob, Maurice A. W. Houtsma, Michael J. Carey, Tomasz Imielinski, Rakesh Agrawal",SIGMOD Conference,1994
Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems,"Sangyong Hwang, Kihong Kim, Sang Kyun Cha, Keunjoo Kwon",VLDB,2001
Clio: A Semi-Automatic Tool For Schema Mapping,"Laura M. Haas, Renée J. Miller, Mauricio A. Hernández",SIGMOD Conference,2001
Random I/O Scheduling in Online Tertiary Storage Systems,"Bruce Hillyer, Abraham Silberschatz",SIGMOD Conference,1996
A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,"Carl Medsker, Margaret Christensen, Il-Yeol Song",SIGMOD Record,1995
REFEREE: An Open Framework for Practical Testing of Recommender Systems using ResearchIndex,"Dan Cosley, Steve Lawrence, David M. Pennock",VLDB,2002
Publish/Subscribe on the Web at Extreme Speed,"Dennis Shasha, Radu Preotiuc-Pietro, João Pereira, Kenneth A. Ross, François Llirbat, Françoise Fabret",VLDB,2000
XPath Processing in a Nutshell,"Georg Gottlob, Christoph Koch, Reinhard Pichler",SIGMOD Record,2003
The SAMOS Active DBMS Prototype,"Klaus R. Dittrich, Stella Gatziu, Andreas Geppert",SIGMOD Conference,1995
A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,"Nick Bassiliades, Ioannis P. Vlahavas",VLDB,1995
The Future of Web Services - I,Adam Bosworth,SIGMOD Conference,2003
Supporting efficient multimedia database exploration,"K. Selçuk Candan, Yoshinori Hara, Kyoji Hirata, Wen-Syan Li",VLDB J.,2001
UnQL: A Query Language and Algebra for Semistructured Data Based on Structural Recursion,"Mary F. Fernandez, Peter Buneman, Dan Suciu",VLDB J.,2000
Multi-Dimensional Database Allocation for Parallel Data Warehouses,"Holger Märtens, Erhard Rahm, Thomas Stöhr",VLDB,2000
"The Network as a Global Database: Challenges of Interoperability, Proactivity, Interactiveness, Legacy","Arne Koschel, Ralf Kramer, Ralf Nikolai, Peter C. Lockemann, Mechtild Wallrath, Ulrike Kölsch, Hans-Dirk Walter",VLDB,1997
Integration of Data Mining with Database Technology,"Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad",VLDB,2000
Binding Propagation in Disjunctive Databases,Sergio Greco,VLDB,1998
Manipulating Interpolated Data is Easier than You Thought,"Stéphane Grumbach, Philippe Rigaux, Luc Segoufin",VLDB,2000
Iceberg-cube computation with PC clusters,"Yu Yin, Raymond T. Ng, Alan S. Wagner",SIGMOD Conference,2001
Performance Issues in Incremental Warehouse Maintenance,"Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang",VLDB,2000
Chair's Message,Richard T. Snodgrass,SIGMOD Record,1997
Environment Information Systems - Guest Editor's Foreword,Oliver Günther,SIGMOD Record,1997
Infosphere Project: System Support for Information Flow Applications,"Calton Pu, Jonathan Walpole, Karsten Schwan",SIGMOD Record,2001
A Multi-paradigm Querying Approach for a Generic Multimedia Database Management System,"Ji-Rong Wen, Qing Li, Wei-Ying Ma, HongJiang Zhang",SIGMOD Record,2003
Integrating Dynamically-Fetched External Information into a DBMS for Semistructured Data,"Jennifer Widom, Jason McHugh",SIGMOD Record,1997
WATCHMAN : A Data Warehouse Intelligent Cache Manager,"Peter Scheuermann, Radek Vingralek, Junho Shim",VLDB,1996
An architecture to support scalable online personalization on the Web,"Kaushik Dutta, Debra E. VanderMeer, Krithi Ramamritham, Anindya Datta, Shamkant B. Navathe",VLDB J.,2001
Active rules for XML: A new paradigm for E-services,"Stefano Ceri, Stefano Paraboschi, Angela Bonifati",VLDB J.,2001
Influencing Database Language Standards,Leonard Gallagher,SIGMOD Record,1994
Static Detection of Security Flaws in Object-Oriented Databases,Keishi Tajima,SIGMOD Conference,1996
Report on Second International Workshop on Advanced Issues of E-Commerce and Web-based Information Systems,"Philip S. Yu, Kun-Lung Wu",SIGMOD Record,2000
Searching for dependencies at multiple abstraction levels,"Jef Wijsen, Toon Calders, Raymond T. Ng",ACM Trans. Database Syst.,2002
Tutorial: LDAP Directory Services - Just Another Database Application?,"Anand Deshpande, Shridhar Shukla",SIGMOD Conference,2000
Databases for Networks,H. V. Jagadish,SIGMOD Conference,1994
Carnot and InfoSleuth: Database Technology and the World Wide Web,"K. Ong, Christine Tomlinson, Darrell Woelk, C. Unnikrishnan, William Bohrer, Nigel Jacobs",SIGMOD Conference,1995
THESUS: Organizing Web document collections based on link semantics,"Benjamin Nguyen, Iraklis Varlamis, Maria Halkidi, Michalis Vazirgiannis",VLDB J.,2003
B-tree Page Size When Caching is Considered,David B. Lomet,SIGMOD Record,1998
Aggregate-Query Processing in Data Warehousing Environments,"Venky Harinarayan, Dallan Quass, Ashish Gupta",VLDB,1995
Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"Luis Gravano, Hector Garcia-Molina",VLDB,1995
Fundamentals of data warehouses: 2nd revised and extended edition,Vernon Hoffner,SIGMOD Record,2003
STREAM: The Stanford Stream Data Manager,"Jennifer Widom, Mayur Datar, Shivnath Babu, Justin Rosenstein, Itaru Nishizawa, Arvind Arasu, Keith Ito, Brian Babcock",SIGMOD Conference,2003
Performance of Future Database Systems: Bottlenecks and Bonananzas,Chaitanya K. Baru,VLDB,1996
Eager Aggregation and Lazy Aggregation,"Weipeng P. Yan, Per-Åke Larson",VLDB,1995
An Ontological Analysis of the Relationship Construct in Conceptual Modeling,"Veda C. Storey, Yair Wand, Ron Weber",ACM Trans. Database Syst.,1999
Retrieval of Composite Multimedia Objects,"Surajit Chaudhuri, Shahram Ghandeharizadeh, Cyrus Shahabi",VLDB,1995
Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,"Helen M. Thomas, Krithi Ramamritham, Anindya Datta",VLDB,1999
Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,"Mary Tork Roth, Laura M. Haas, Fatma Ozcan",VLDB,1999
Context-Based Prefetch for Implementing Objects on Relations,"Philip A. Bernstein, David Shutt, Shankar Pal",VLDB,1999
Unix RDBMS: The Next Generation,Bill Rosneblatt,SIGMOD Record,1994
Design and Implementation of a Genetic-Based Algorithm for Data Mining,Sunil Choenni,VLDB,2000
On Multi-Resolution Document Transmission in Mobile Web,"Stanley M. T. Yau, Antonio Si, Dennis McLeod, Hong Va Leong",SIGMOD Record,1999
Efficient retrieval of similar shapes,"Davood Rafiei, Alberto O. Mendelzon",VLDB J.,2002
Description logics for semantic query optimization in object-oriented database systems,"Claudio Sartori, Sonia Bergamaschi, Domenico Beneventano",ACM Trans. Database Syst.,2003
One-dimensional and multi-dimensional substring selectivity estimation,"Raymond T. Ng, Divesh Srivastava, H. V. Jagadish, Olga Kapitskaia",VLDB J.,2000
On Processing XML in LDAP,"Pedro José Marrón, Georg Lausen",VLDB,2001
"Mining database structure; or, how to build a data quality browser","Vladislav Shkapenyuk, Tamraparni Dasu, S. Muthukrishnan, Theodore Johnson",SIGMOD Conference,2002
Real-Time Database - Similarity Semantics and Resource Scheduling,"Tei-Wei Kuo, Aloysius K. Mok",SIGMOD Record,1996
Incremental Maintenance for Materialized Views over Semistructured Data,"Vasilis Vassalos, Janet L. Wiener, Michael Rys, Serge Abiteboul, Jason McHugh",VLDB,1998
Efendi: Federated Database System of Cadlab,"Bernd Burkert, Yaron Engel, Ralf Böttger, Gerd Kachel, Elke Radeke, Silvia Kolmschlag, Dietmar Nolte",SIGMOD Conference,1995
Trade Press News,Rafael Alonso,SIGMOD Record,1994
What Happens During a Join? Dissecting CPU and Memory Optimization Effects,"Stefan Manegold, Martin L. Kersten, Peter A. Boncz",VLDB,2000
DOMINO: Databases fOr MovINg Objects tracking,"Jutai Zhou, Ouri Wolfson, Sam Chamberlain, A. Prasad Sistla, Bo Xu",SIGMOD Conference,1999
Applying Formal Methods to Semantic-Based Decomposition of Transactions,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",ACM Trans. Database Syst.,1997
Workshop Report on Experiences Using Object Data Management in the Real-World,Akmal B. Chaudhri,SIGMOD Record,1998
"Set Containment Joins: The Good, The Bad and The Ugly","Karthikeyan Ramasamy, Jeffrey F. Naughton, Jignesh M. Patel, Raghav Kaushik",VLDB,2000
Rapid Bushy Join-order Optimization with Cartesian Products,"Bennet Vance, David Maier",SIGMOD Conference,1996
The Aqua Approximate Query Answering System,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",SIGMOD Conference,1999
2003 SIGMOD Innovations Award Speech,Donald D. Chamberlin,SIGMOD Record,2003
WSQ/DSQ: A Practical Approach for Combined Querying of Databases and the Web,"Roy Goldman, Jennifer Widom",SIGMOD Conference,2000
NetCube: A Scalable Tool for Fast Data Mining and Compression,"Dimitris Margaritis, Christos Faloutsos, Sebastian Thrun",VLDB,2001
A New Passenger Support System for Public Transport using Mobile Database Access,"Koichi Goto, Yahiko Kambayashi",VLDB,2002
Hot Mirroring: A Study to Hide Parity Upgrade Penalty and Degradations During Rebuilds for RAID5,"Masaru Kitsuregawa, Kazuhiko Mogi",SIGMOD Conference,1996
Detection and Classification of Intrusions and Faults using Sequences of System Calls,"João B. D. Cabrera, Raman K. Mehra, Lundy M. Lewis",SIGMOD Record,2001
Multiscale Histograms: Summarizing Topological Relations in Large Spatial Datasets,"Xuemin Lin, Qing Liu, Yidong Yuan, Xiaofang Zhou",VLDB,2003
Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002,"Qiang Wang, Brian D. Davison",SIGMOD Record,2003
Buffering Accesses to Memory-Resident Index Structures,"Jingren Zhou, Kenneth A. Ross",VLDB,2003
"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases","King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim",VLDB,1995
Modeling Skewed Distribution Using Multifractals and the `80-20' Law,"Abraham Silberschatz, Christos Faloutsos, Yossi Matias",VLDB,1996
Indexing the Distance: An Efficient Method to KNN Processing,"Cui Yu, Kian-Lee Tan, Beng Chin Ooi, H. V. Jagadish",VLDB,2001
Sleepers and Workaholics: Caching Strategies in Mobile Environments,"Tomasz Imielinski, Daniel Barbará",VLDB J.,1995
S3: Similarity Search in CAD Database Systems,"Hans-Peter Kriegel, Stefan Berchtold",SIGMOD Conference,1997
SQL Query Optimization: Reordering for a General Class of Queries,"Piyush Goel, Balakrishna R. Iyer",SIGMOD Conference,1996
Controlling Data Warehouses with Knowledge Networks,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000
Approximate XML joins,"H. V. Jagadish, Ting Yu, Divesh Srivastava, Sudipto Guha, Nick Koudas",SIGMOD Conference,2002
Statistical synopses for graph-structured XML databases,"Minos N. Garofalakis, Neoklis Polyzotis",SIGMOD Conference,2002
Interview with Michael Stonebraker,Marianne Winslett,SIGMOD Record,2003
Probabilistic object bases,"Thomas Eiter, V. S. Subrahmanian, Thomas Lukasiewicz, James J. Lu",ACM Trans. Database Syst.,2001
Sleepers and Workaholics: Caching Strategies in Mobile Environments,"Daniel Barbará, Tomasz Imielinski",SIGMOD Conference,1994
Keynote Address,Larry Ellison,SIGMOD Conference,1995
Designing wrapper components for e-services in integrating heterogeneous systems,"Barbara Pernici, Massimo Mecella",VLDB J.,2001
Versioning and Configuration Management in an Object-Oriented Data Model,Edward Sciore,VLDB J.,1994
"Adaptive, Hands-Off Stream Mining","Anthony Brockwell, Spiros Papadimitriou, Christos Faloutsos",VLDB,2003
Modeling High-Dimensional Index Structures using Sampling,"Christian A. Lang, Ambuj K. Singh",SIGMOD Conference,2001
Repeating History Beyond ARIES,C. Mohan,VLDB,1999
"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","Felipe Cariño, Pekka Kostamaa, Art Kaufmann, John Burgess",SIGMOD Conference,2001
Exploratory Mining and Pruning Optimizations of Constrained Association Rules,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan",SIGMOD Conference,1998
The Heterogeneity Problem and Middleware Technology: Experiences with and Performance of Database Gateways,"Klaudia Hergula, Fernando de Ferreira Rezende",VLDB,1998
Object-Oriented Extensions in SQL3: A Status Report,Krishna G. Kulkarni,SIGMOD Conference,1994
Oracle XML DB Repository,Viswanathan Krishnamurthy,SIGMOD Conference,2003
Foundations of Statistical Natural Language Processing - Book Review,Gerhard Weikum,SIGMOD Record,2002
Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,"Waqar Hasan, Rajeev Motwani",VLDB,1994
DataMine - Interactive Rule Discovery System,"Aashu Virmani, Tomasz Imielinski",SIGMOD Conference,1995
Caching Strategies for Data-Intensive Web Sites,"Khaled Yagoub, Patrick Valduriez, Valérie Issarny, Daniela Florescu",VLDB,2000
Querying the Internet with PIER,"Ion Stoica, Nick Lanham, Scott Shenker, Joseph M. Hellerstein, Boon Thau Loo, Ryan Huebsch",VLDB,2003
Cache Tables: Paving the Way for an Adaptive Database Cache,"Hamid Pirahesh, Christof Bornhövd, Berthold Reinwald, Sailesh Krishnamurthy, Mehmet Altinel, C. Mohan",VLDB,2003
What is the Data Warehousing Problem? (Are Materialized Views the Answer?),"Inderpal Singh Mumick, Ashish Gupta",VLDB,1996
Optimizing Multiple Dimensional Queries Simultaneously in Multidimensional Databases,"Jeffrey Xu Yu, Weifa Liang, Maria E. Orlowska",VLDB J.,2000
The Building Blocks for Specifying Communication Behavior of Complex Objects: An Activity-Driven Approach,"Ling Liu, Robert Meersman",ACM Trans. Database Syst.,1996
Calls for Papers / Announcements,?,SIGMOD Record,1994
Record-Boundary Discovery in Web Documents,"Yiu-Kai Ng, Y. S. Jiang, David W. Embley",SIGMOD Conference,1999
View Maintenance in Mobile Computing,"Ouri Wolfson, Kailash Narayanan, Son Dao, Ramya Raj, A. Prasad Sistla",SIGMOD Record,1995
Balancing Performance and Data Freshness in Web Database Servers,"Nick Roussopoulos, Alexandros Labrinidis",VLDB,2003
StatiX: making XML count,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, Jérôme Siméon",SIGMOD Conference,2002
Transaction Timestamping in (Temporal) Databases,"Christian S. Jensen, David B. Lomet",VLDB,2001
Integrated Data Management for Mobile Services in the Real World,"Igor Timko, Torben Bach Pedersen, Christian Hage, Christian S. Jensen, Laurynas Speicys",VLDB,2003
Realm-Based Spatial Data Types: The ROSE Algebra,"Markus Schneider, Ralf Hartmut Güting",VLDB J.,1995
A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"David Wai-Lok Cheung, Ada Wai-Chee Fu",VLDB,1994
In-context peer-to-peer information filtering on the Web,Aris M. Ouksel,SIGMOD Record,2003
The CORAL Deductive System,"Raghu Ramakrishnan, S. Sudarshan, Divesh Srivastava, Praveen Seshadri",VLDB J.,1994
T2: A Customizable Parallel Database for Multi-Dimensional Data,"Alan Sussman, Anurag Acharya, Joel H. Saltz, Chialin Chang",SIGMOD Record,1998
Mapping Data in Peer-to-Peer Systems: Semantics and Algorithmic Issues,"Renée J. Miller, Anastasios Kementsietsidis, Marcelo Arenas",SIGMOD Conference,2003
Storage Technology: RAID and Beyond,Garth A. Gibson,SIGMOD Conference,1995
First-Class Views: A Key to User-Centered Computing,"Arnon Rosenthal, Edward Sciore",SIGMOD Record,1999
Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML,HyoungDo Kim,SIGMOD Record,2002
Enhancing External Consistency in Real-Time Transactions,"Shing-Shan Peng, Kwei-Jay Lin",SIGMOD Record,1996
NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"Thierry Coupaye, T. Svensen, Christine Collet",VLDB,1994
Kweelt: More than just yet another framework to query XML!,Arnaud Sahuguet,SIGMOD Conference,2001
Storage Service Providers: a Solution for Storage Management? (Panel),"Elizabeth A. M. Shriver, Bruce Hillyer, Wee Teck Ng, Banu Özden, Eran Gabber, David J. DeWitt, John Wilkes, Jim Gray, Bruce Gordon",VLDB,2001
Sybase Replication Server,"Mark Deppe, Yongdong Wang, Alex Gorelik",SIGMOD Conference,1994
A Scalable and Highly Available Networked Database Architecture,"Angelo Pruscino, Rafiul Ahad, Roger Bamford",VLDB,1999
XML and Electronic Commerce: Enabling the Network Economy,"Robert J. Glushko, Bart Meltzer",SIGMOD Record,1998
Hierarchies and Relative Operators in the OLAP Environment,"Maurizio Rafanelli, Elaheh Pourabbas",SIGMOD Record,2000
Partition Selection Policies in Object Database Garbage Collection,"Benjamin G. Zorn, Alexander L. Wolf, Jonathan E. Cook",SIGMOD Conference,1994
Mining Insurance Data at Swiss Life,"Jörg-Uwe Kietz, Ulrich Reimer, Martin Staudt",VLDB,1997
Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,"Jörg Sander, Hans-Peter Kriegel, Peer Kröger, Markus M. Breunig",SIGMOD Conference,2001
The Database and Information System Research Group at the University of Ulm,"Peter Dadam, Wolfgang Klas",SIGMOD Record,1997
XPath Queries on Streaming Data,"Sudarshan S. Chawathe, Feng Peng",SIGMOD Conference,2003
SIGMOD Anthology Editor's Message,Michael Ley,SIGMOD Record,2000
Query Evaluation in Deductive Databases with Alternating Fixpoint Semantics,Weidong Chen,ACM Trans. Database Syst.,1995
Query Caching and Optimization in Distributed Mediator Systems,"Sibel Adali, Yannis Papakonstantinou, K. Selçuk Candan, V. S. Subrahmanian",SIGMOD Conference,1996
Managing Intra-operator Parallelism in Parallel Database Systems,"David J. DeWitt, Manish Mehta",VLDB,1995
Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,"Hanan Samet, Ken Smith, Glenn S. Iwerks",VLDB,2003
The Network is the Database: Data Management for Highly Distributed Systems,"Michael J. Wynblatt, Julio C. Navas",SIGMOD Conference,2001
Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic Web and Enterprises,"Robert Meersman, Amit P. Sheth",SIGMOD Record,2002
Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"Nathan Goodman, Steve Rozen, Lincoln Stein",VLDB,1994
XXL - A Library Approach to Supporting Efficient Implementations of Advanced Database Queries,"Björn Blohsfeld, Jens-Peter Dittrich, Martin Schneider, Bernhard Seeger, Tobias Schäfer, Jochen Van den Bercken, Jürgen Krämer",VLDB,2001
Querying Continuous Time Sequences,"Tore Risch, Ling Lin",VLDB,1998
XISS/R: XML Indexing and Storage System using RDBMS,"Philip J. Harding, Bongki Moon, Quanzhong Li",VLDB,2003
Implementation of SQL3 Structured Types with Inheritance and Value Substitutability,"Nelson Mendonça Mattos, Serge Rielau, Bruce G. Lindsay, Stefan Deßloch, You-Chin Fuh, Brian T. Tran, Danko Mannhaupt, Linda DeMichel, Weidong Chen",VLDB,1999
Accelerating XPath location steps,Torsten Grust,SIGMOD Conference,2002
Indexing Multiple Sets,"Christoph Kilger, Guido Moerkotte",VLDB,1994
Improved Query Performance with Variant Indexes,"Patrick E. O'Neil, Dallan Quass",SIGMOD Conference,1997
"OLAP, Relational, and Multidimensional Database Systems",George Colliat,SIGMOD Record,1996
New Concurrency Control Algorithms for Accessing and Compacting B-Trees,"Andrea Zisman, V. W. Setzer",VLDB,1994
Update Propagation Strategies for Improving the Quality of Data on the Web,"Nick Roussopoulos, Alexandros Labrinidis",VLDB,2001
Information Director's Message,Alberto O. Mendelzon,SIGMOD Record,2000
A Performance Study of Transitive Closure Algorithms,"Raghu Ramakrishnan, Shaul Dar",SIGMOD Conference,1994
"Data Management in eCommerce: The Good, the Bad, and the Ugly",Avigdor Gal,SIGMOD Conference,2000
Efficiently Publishing Relational Data as XML Documents,"Berthold Reinwald, Jayavel Shanmugasundaram, Michael J. Carey, Eugene J. Shekita, Hamid Pirahesh, Bruce G. Lindsay, Rimon Barr",VLDB,2000
On Parallel Processing of Aggregate and Scalar Functions in Object-Relational DBMS,"Michael Jaedicke, Bernhard Mitschang",SIGMOD Conference,1998
Performing Jobs without Decompression in a Compressed Database System,"N. Winterbottom, S. J. O'Connell",SIGMOD Record,2003
"Replication: DB2, Oracle, or Sybase?",Doug Stacey,SIGMOD Record,1995
Query Processing Techniques for Multiversion Access Methods,"Jochen Van den Bercken, Bernhard Seeger",VLDB,1996
Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,"S. Sudarshan, Prasan Roy, Abraham Silberschatz, S. Seshadri, Srinivas Ashwin",VLDB,1997
"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?","Henry F. Korth, Stephen Blott, Abraham Silberschatz",VLDB,1998
An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems,"M. Tamer Özsu, Randal J. Peters",ACM Trans. Database Syst.,1997
Lightweight Flexible Isolation for Language-based Extensible Systems,"Laurent Daynès, Grzegorz Czajkowski",VLDB,2002
The WASA2 Object-Oriented Workflow Management System,"Mathias Weske, Gottfried Vossen",SIGMOD Conference,1999
Plan-Per-Tuple Optimization Solution - Parallel Execution of Expensive User-Defined Functions,"Felipe Cariño, William O'Connell",VLDB,1998
Efficient schemes for managing multiversionXML documents,"Shu-Yao Chien, Carlo Zaniolo, Vassilis J. Tsotras",VLDB J.,2002
